1	0
1.0	1
10	2
11	3
12	4
13	5
14	6
14426	7
15	8
15761	9
16	10
16644	11
17	12
17608	13
18	14
19	15
2	16
2.0	17
20	18
2010	19
2011	20
2012	21
2013	22
2014	23
2015	24
2016	25
2017	26
21	27
22	28
23	29
24	30
25	31
26	32
27	33
28	34
29	35
3	36
3.0	37
30	38
31	39
3101	40
3102	41
3104	42
3105	43
3106	44
3107	45
3108	46
3111	47
3112	48
3113	49
3114	50
3115	51
3116	52
3118	53
3119	54
3120	55
3122	56
3123	57
3124	58
3125	59
3126	60
3127	61
3128	62
3129	63
3130	64
3131	65
3132	66
3134	67
3150	68
3151	69
3154	70
3157	71
3160	72
3161	73
3165	74
3166	75
3168	76
3169	77
3170	78
3171	79
3172	80
3173	81
3174	82
3176	83
3178	84
3179	85
3181	86
3182	87
3183	88
3184	89
3185	90
3188	91
3189	92
3190	93
3191	94
32	95
33	96
3300	97
3301	98
3304	99
3305	100
3307	101
3308	102
3309	103
3310	104
3311	105
3314	106
3316	107
3318	108
3319	109
3320	110
3321	111
3322	112
3323	113
3324	114
3325	115
3326	116
3327	117
3328	118
3332	119
3350	120
3352	121
3353	122
3354	123
3355	124
3356	125
3357	126
3358	127
3359	128
3360	129
3361	130
3364	131
3365	132
3366	133
3367	134
3368	135
3369	136
3370	137
3371	138
3372	139
3373	140
3374	141
3375	142
3376	143
3377	144
3378	145
3380	146
3381	147
3383	148
3384	149
3385	150
3386	151
3387	152
3389	153
3390	154
3392	155
34	156
35	157
3550	158
3551	159
3552	160
3554	161
3555	162
3556	163
3557	164
3558	165
3559	166
3563	167
3564	168
3565	169
3566	170
3567	171
3569	172
3570	173
3571	174
3572	175
3573	176
3574	177
3575	178
3577	179
3580	180
3581	181
3582	182
3584	183
3585	184
3586	185
3587	186
3588	187
3589	188
3591	189
3592	190
3593	191
36	192
37	193
3750	194
3751	195
3752	196
3753	197
3755	198
3756	199
3757	200
3758	201
3759	202
3760	203
3762	204
3763	205
3764	206
3765	207
3767	208
3768	209
3769	210
3770	211
3771	212
3775	213
3776	214
3777	215
3778	216
3779	217
3780	218
3781	219
3783	220
3784	221
3787	222
3788	223
3789	224
3790	225
38	226
3800	227
3802	228
3803	229
3804	230
3806	231
3807	232
3808	233
3809	234
3811	235
3812	236
3813	237
3814	238
3815	239
3816	240
3817	241
3818	242
3819	243
3820	244
3821	245
3822	246
3823	247
3824	248
3825	249
3826	250
3827	251
3828	252
3829	253
3830	254
3831	255
3832	256
3834	257
3835	258
3836	259
3838	260
3850	261
3851	262
3852	263
3853	264
3854	265
3855	266
3857	267
3859	268
3860	269
3861	270
3862	271
3863	272
3865	273
3866	274
3867	275
3868	276
3869	277
3870	278
3871	279
39	280
4	281
4.0	282
40	283
4001	284
4004	285
4005	286
4010	287
4011	288
4012	289
4013	290
4018	291
4019	292
4020	293
4021	294
4022	295
4023	296
4024	297
4025	298
4026	299
4027	300
4029	301
4030	302
4031	303
4032	304
4033	305
4034	306
4035	307
4036	308
40360	309
40366	310
4037	311
4038	312
40451	313
4064	314
4065	315
4066	316
4067	317
40781	318
4080	319
40800	320
40806	321
4081	322
4082	323
4083	324
4084	325
4085	326
4086	327
40882	328
40916	329
41	330
41184	331
41283	332
41289	333
41293	334
4135	335
4136	336
4139	337
41471	338
41473	339
41486	340
41488	341
41664	342
42	343
42072	344
43	345
44	346
45	347
46	348
47	349
48	350
49	351
5	352
50028	353
50110	354
50143	355
50172	356
50222	357
50225	358
50319	359
50328	360
50451	361
50485	362
50572	363
50901	364
50961	365
51	366
51302	367
51330	368
51392	369
51632	370
51689	371
51731	372
52274	373
52275	374
52353	375
52432	376
53060	377
54	378
54937	379
55395	380
57037	381
58	382
6	383
60006	384
60023	385
60024	386
60033	387
60035	388
60036	389
60043	390
60044	391
60073	392
60074	393
60075	394
60091	395
62	396
65003	397
65006	398
68	399
7	400
8	401
85236	402
85242	403
9	404
BL	405
Control	406
F	407
M	408
Mild	409
Moderate	410
NiFTI	411
No	412
Normal	413
Off	414
On	415
PD	416
Processed	417
Prodromal	418
SWEDD	419
Severe	420
Slight	421
Stage_0	422
Stage_1	423
Stage_2	424
Stage_3	425
Stage_4	426
V04	427
V06	428
V08	429
V10	430
Yes	431
age_30_39	432
age_40_49	433
age_50_59	434
age_60_69	435
age_70_79	436
age_80_89	437
