14426	0
15761	1
16644	2
17608	3
3101	4
3102	5
3104	6
3105	7
3106	8
3107	9
3108	10
3111	11
3112	12
3113	13
3114	14
3115	15
3116	16
3118	17
3119	18
3120	19
3122	20
3123	21
3124	22
3125	23
3126	24
3127	25
3128	26
3129	27
3130	28
3131	29
3132	30
3134	31
3150	32
3151	33
3154	34
3157	35
3160	36
3161	37
3165	38
3166	39
3168	40
3169	41
3170	42
3171	43
3172	44
3173	45
3174	46
3176	47
3178	48
3179	49
3181	50
3182	51
3183	52
3184	53
3185	54
3188	55
3189	56
3190	57
3191	58
3300	59
3301	60
3304	61
3305	62
3307	63
3308	64
3309	65
3310	66
3311	67
3314	68
3316	69
3318	70
3319	71
3320	72
3321	73
3322	74
3323	75
3324	76
3325	77
3326	78
3327	79
3328	80
3332	81
3350	82
3352	83
3353	84
3354	85
3355	86
3356	87
3357	88
3358	89
3359	90
3360	91
3361	92
3364	93
3365	94
3366	95
3367	96
3368	97
3369	98
3370	99
3371	100
3372	101
3373	102
3374	103
3375	104
3376	105
3377	106
3378	107
3380	108
3381	109
3383	110
3384	111
3385	112
3386	113
3387	114
3389	115
3390	116
3392	117
3550	118
3551	119
3552	120
3554	121
3555	122
3556	123
3557	124
3558	125
3559	126
3563	127
3564	128
3565	129
3566	130
3567	131
3569	132
3570	133
3571	134
3572	135
3573	136
3574	137
3575	138
3577	139
3580	140
3581	141
3582	142
3584	143
3585	144
3586	145
3587	146
3588	147
3589	148
3591	149
3592	150
3593	151
3750	152
3751	153
3752	154
3753	155
3755	156
3756	157
3757	158
3758	159
3759	160
3760	161
3762	162
3763	163
3764	164
3765	165
3767	166
3768	167
3769	168
3770	169
3771	170
3775	171
3776	172
3777	173
3778	174
3779	175
3780	176
3781	177
3783	178
3784	179
3787	180
3788	181
3789	182
3790	183
3800	184
3802	185
3803	186
3804	187
3806	188
3807	189
3808	190
3809	191
3811	192
3812	193
3813	194
3814	195
3815	196
3816	197
3817	198
3818	199
3819	200
3820	201
3821	202
3822	203
3823	204
3824	205
3825	206
3826	207
3827	208
3828	209
3829	210
3830	211
3831	212
3832	213
3834	214
3835	215
3836	216
3838	217
3850	218
3851	219
3852	220
3853	221
3854	222
3855	223
3857	224
3859	225
3860	226
3861	227
3862	228
3863	229
3865	230
3866	231
3867	232
3868	233
3869	234
3870	235
3871	236
4001	237
4004	238
4005	239
4006	240
4010	241
4011	242
4012	243
4013	244
4018	245
4019	246
4020	247
4021	248
4022	249
4023	250
4024	251
4025	252
4026	253
4027	254
4029	255
4030	256
4031	257
4032	258
4033	259
4034	260
4035	261
4036	262
40360	263
40366	264
4037	265
4038	266
40451	267
4064	268
4065	269
4066	270
4067	271
40781	272
4080	273
40800	274
40806	275
4081	276
4082	277
4083	278
4084	279
4085	280
4086	281
40882	282
40916	283
41184	284
41283	285
41289	286
41293	287
4135	288
4136	289
4139	290
41471	291
41473	292
41486	293
41488	294
41664	295
42072	296
50028	297
50110	298
50143	299
50172	300
50222	301
50225	302
50319	303
50328	304
50451	305
50485	306
50572	307
50901	308
50961	309
51302	310
51330	311
51392	312
51632	313
51689	314
51731	315
52274	316
52275	317
52353	318
52432	319
53060	320
54937	321
55395	322
57037	323
60006	324
60023	325
60024	326
60033	327
60035	328
60036	329
60043	330
60044	331
60073	332
60074	333
60075	334
60091	335
65003	336
65006	337
85236	338
85242	339
Arising From Chair	340
Body Bradykinesia	341
Consistency Of Rest Tremor	342
Dyskinesias During Exam	343
Facial Expression	344
Freezing Of Gait	345
Gait	346
Kinetic Tremor Of Left Hand	347
Kinetic Tremor Of Right Hand	348
Left Finger Tapping	349
Left Hand Movements	350
Left Leg Agility	351
Left Toe Tapping	352
M0	353
M12	354
M24	355
M3	356
M36	357
M48	358
Movements Interfere With Ratings	359
Postural Stability	360
Postural Tremor Of Left Hand	361
Postural Tremor Of Right Hand	362
Posture	363
Pron Sup Movement Left Hand	364
Pron Sup Movement Right Hand	365
Rest Tremor Amplitude Left Lower Extremity	366
Rest Tremor Amplitude Left Upper Extremity	367
Rest Tremor Amplitude Lip Or Jaw	368
Rest Tremor Amplitude Right Lower Extremity	369
Rest Tremor Amplitude Right Upper Extremity	370
Right Finger Tapping	371
Right Hand Movements	372
Right Leg Agility	373
Right Toe Tapping	374
Rigidity Left Lower Extremity	375
Rigidity Left Upper Extremity	376
Rigidity Neck	377
Rigidity Right Lower Extremity	378
Rigidity Right Upper Extremity	379
Speech Problems	380
